rev_id,labels
1377358,0
1389102,0
1390978,0
1668322,0
1668324,0
2206104,0
3101805,0
3105101,0
3105108,0
3146387,0
4492637,0
4545637,0
4545680,0
4548248,0
4548544,0
4548887,0
4548892,0
4548904,0
4818390,0
4821428,0
5012480,0
5016909,0
5017006,0
5049144,0
5049180,0
5143356,0
5387424,0
5458046,0
5883354,0
6173900,0
6173918,0
6410233,0
6560165,0
6791973,0
6794569,0
6794820,0
6799041,0
6802517,0
6806793,0
6807013,0
6807022,0
6807078,0
6807113,0
6807212,0
6807283,0
6807304,0
6807331,0
6807362,0
6807570,0
6807626,0
6825746,0
6825862,0
6826169,0
6828181,0
6846097,0
6856056,0
6859800,0
6876697,0
6876746,0
6877262,0
6878854,0
6878998,0
6879059,0
6885209,0
6888672,0
6892250,0
6900097,0
6901093,0
6909472,0
6934977,0
6945197,0
6961485,0
6962179,0
6962263,0
6980374,0
6997194,0
7005192,0
7005364,0
7005479,0
7005751,0
7029803,0
7045241,0
7045325,0
7045378,0
7085872,0
7093476,0
7102071,0
7167587,0
7470611,0
7578558,0
7603641,0
7969731,0
8210435,0
8326657,0
8376839,0
8380054,0
8528598,0
8528599,0
8533622,0
8582830,0
8593899,0
8664278,0
8893500,0
8894654,0
8898730,0
8941662,0
9288575,0
9775623,0
9880209,0
9928193,0
9928210,0
9929784,0
11254519,0
11756679,0
13393278,0
13699128,0
13924094,0
13924226,0
15258466,0
15482595,0
16133147,0
16246530,0
16575740,0
17055973,0
17055975,0
17091011,0
17092427,0
17314588,0
17522585,0
17784551,0
17826820,0
17840007,0
18824698,0
19341570,0
19343106,0
19525288,0
19837372,0
23499833,0
23791594,0
24094799,0
24107023,0
24141040,0
24291119,0
24983091,0
29889072,0
29892328,0
29957260,0
30212548,0
30212558,0
30212576,0
30212655,0
30212676,0
30717522,0
30717524,0
30717534,0
30717536,0
31403714,0
33443870,0
33444090,0
33696274,0
33788667,0
35040398,0
36901986,0
37521039,0
39077871,0
40593735,0
40778842,0
40939015,0
42444868,0
42445049,0
42823351,0
43602873,0
43886996,0
45694653,0
46348117,0
46908199,0
46908973,0
47285625,0
53123184,0
53123226,0
53123238,0
53123374,0
53123941,0
53123959,0
53611595,0
53611671,0
53868782,0
55426430,0
57526665,0
57532328,0
57532546,0
57533003,0
57558526,0
57559031,0
57559442,0
57560368,0
58119231,0
61987134,0
62996016,0
64051853,0
64764415,0
66462344,0
66889056,0
66895371,0
67484520,0
67484599,0
67653554,0
68701622,0
68831098,0
69679141,0
69681815,0
71895018,0
72329339,0
72330298,0
72575967,0
73431584,0
73431630,0
82276000,0
82276013,0
85504115,0
85511230,0
87427570,0
87994256,0
89400755,0
90189104,0
90189112,0
90434932,0
91320960,0
94409868,0
94411803,0
94505781,0
94516548,0
94644336,0
98377129,0
98659120,0
98696431,0
99000244,0
99090480,0
99172547,0
99476756,0
99479729,0
99850825,0
99850871,0
99850918,0
100524925,0
100524930,0
100887370,0
101874118,0
103716506,0
105048635,0
105060321,0
105272309,0
106861128,0
107085265,0
107085279,0
111158675,0
111158678,0
111168098,0
111168100,0
113563793,0
113716111,0
113716112,0
113757494,0
114551301,0
114551302,0
