rev_id,labels
5697,0
5698,0
5699,0
6809,0
6810,0
7068,0
7069,0
7070,0
12287,0
14048,0
16267,0
17329,0
17377,0
17378,0
25907,0
27362,0
27363,0
33983,0
36582,0
36583,0
36587,0
36589,0
36944,0
38711,0
43067,0
44420,0
52337,0
58132,0
63730,0
85502,0
94929,0
94930,0
98203,0
101596,0
101612,0
101680,0
113828,0
119659,0
123386,0
128803,0
139603,0
139604,0
153506,0
164892,0
175754,0
192487,0
202017,0
205511,0
211543,0
220660,0
245911,0
250438,0
250440,0
268274,0
288753,0
312736,0
336480,0
347651,0
349588,0
370390,0
370394,0
399917,0
418899,0
458841,0
458843,0
458846,0
467512,0
471484,0
471581,0
472257,0
472258,0
472261,0
472285,0
472290,0
472293,0
472297,0
472324,0
472327,0
472330,0
472338,0
472341,0
474313,0
477813,0
481415,0
481422,0
481439,0
498430,0
498496,0
507455,0
507955,0
514683,0
525521,0
525524,0
533282,0
555442,0
555447,0
581107,0
624354,0
658262,0
663685,0
668614,0
708312,0
722796,0
722801,0
728849,0
728856,0
734848,0
763342,0
776395,0
790105,0
817271,0
817291,0
836349,0
976341,0
985741,0
985750,0
994137,0
995449,0
999637,0
1006351,0
1006355,0
1006358,0
1006364,0
1010369,0
1017678,0
1060134,0
1060140,0
1062684,0
1068809,0
1068814,0
1068820,0
1068868,0
1123116,0
1185779,0
1193838,0
1207602,0
1240894,0
1321482,0
1333272,0
1409063,0
1426994,0
1440209,0
1440615,0
1442123,0
1475095,0
1477658,0
1533517,0
1533530,0
1536762,0
1536811,0
1549716,0
1549720,0
1552947,0
1555531,0
1574486,0
1574534,0
1649967,0
1652203,0
1698609,0
1698613,0
1737465,0
1771457,0
1816855,0
1816863,0
1852467,0
1887124,0
1914723,0
2015519,0
2022645,0
2025098,0
2073004,0
2085247,0
2085253,0
2087641,0
2087645,0
2104181,0
2104186,0
2104190,0
2104197,0
2104204,0
2120991,0
2120992,0
2123054,0
2147621,0
2176477,0
2176491,0
2194487,0
2201821,0
2201964,0
2201982,0
2213207,0
2213215,0
2218118,0
2218142,0
2218145,0
2227303,0
2266177,0
2377539,0
2385737,0
2385743,0
2452372,0
2452375,0
2486047,0
2557925,0
2615806,0
2621521,0
2651644,0
2651654,0
2651657,0
2651663,0
2651670,0
2677280,0
2702031,0
2705351,0
2749524,0
2764898,0
2765912,0
2765927,0
2766023,0
2766029,0
2781760,0
2801216,0
2802326,0
2828678,0
2849424,0
2874908,0
2910752,0
3024037,0
3024047,0
3027746,0
3057025,0
3059859,0
3069259,0
3074733,0
3076430,0
3154843,0
3171113,0
3251302,0
3333132,0
3338387,0
3344092,0
3344158,0
3366740,0
3383085,0
3392361,0
3395381,0
3434609,0
3460807,0
3460869,0
3460924,0
3499142,0
3506508,0
3521006,0
3527505,0
3566464,0
3575986,0
3576026,0
3576273,0
3576310,0
3668564,0
3674184,0
3674192,0
3685172,0
3697927,0
3697960,0
3700869,0
3708411,0
3708426,0
3719963,0
3800823,0
3849796,0
3884921,0
3953394,0
3953417,0
3974278,0
4033858,0
4119753,0
4119763,0
4139863,0
4207781,0
4227832,0
4298939,0
4300473,0
4306596,0
4306628,0
