page_id,page_title,page_ns,revision_id,timestamp,contributor_id,org:resource,bytes,counter-vandalism,fact-update,refactoring,copy-editing,wikification,vandalism,simplification,elaboration,verifiability,process,clarification,disambiguation,point-of-view
2730,|Tierra|,0,5697,2001-10-28T02:18:21Z,4850042,|Bradfield|,637,0,0,0,0,1,0,0,1,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,161,2002-01-11T01:06:09Z,0,|imported>Fidel.G|,276,0,0,0,0,1,0,0,2,0,0,0,0,0
2730,|Tierra|,0,5698,2002-03-21T01:42:29Z,4850063,|Pec|,747,0,0,0,0,2,0,0,3,0,0,0,0,0
2730,|Tierra|,0,5699,2002-05-13T18:29:18Z,43,|AFLastra|,1081,0,0,0,0,3,0,0,4,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,6683,2002-10-23T09:34:14Z,0,|conversion script|,276,0,0,0,1,4,0,0,4,0,0,0,0,0
2730,|Tierra|,0,6809,2002-10-23T09:34:53Z,0,|conversion script|,1060,0,0,0,1,5,0,0,4,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,6684,2002-10-24T07:20:14Z,7,|Maveric149|,286,0,0,0,1,5,0,0,4,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,8788,2002-10-24T07:21:28Z,7,|Maveric149|,342,0,0,0,1,6,0,0,4,0,0,0,0,0
2730,|Tierra|,0,6810,2002-10-26T04:55:08Z,7,|Maveric149|,1055,0,0,0,1,7,0,0,4,0,0,0,0,0
2730,|Tierra|,0,7068,2002-10-26T04:57:07Z,7,|Maveric149|,1128,0,0,0,1,8,0,0,4,0,0,0,0,0
2730,|Tierra|,0,7069,2002-10-29T01:12:48Z,1,|AstroNomo|,1072,0,0,0,1,8,0,0,4,0,0,0,0,0
2730,|Tierra|,0,7070,2002-10-29T01:13:43Z,1,|AstroNomo|,1068,0,0,0,1,9,0,0,4,0,0,0,0,0
2730,|Tierra|,0,12287,2002-10-29T01:14:05Z,1,|AstroNomo|,1068,0,0,0,2,9,0,0,4,0,0,0,0,0
3825,|Leche|,0,7778,2002-11-20T00:25:06Z,1,|AstroNomo|,466,0,0,0,2,10,0,0,4,0,0,0,0,0
3825,|Leche|,0,7883,2002-11-20T00:25:58Z,1,|AstroNomo|,497,0,0,0,2,10,0,0,4,0,0,0,0,0
3825,|Leche|,0,22507,2002-11-24T02:44:59Z,7,|Maveric149|,509,0,0,0,3,11,0,0,4,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,8799,2002-12-21T15:38:01Z,81.56.10.66,Anonymous,351,0,0,0,3,12,0,0,4,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,9088,2002-12-22T07:08:00Z,1,|AstroNomo|,350,0,0,0,3,12,0,0,4,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,18222,2002-12-30T18:46:28Z,62.234.65.43,Anonymous,360,0,0,0,3,12,0,0,4,0,0,0,0,0
2730,|Tierra|,0,14048,2003-03-22T23:27:37Z,638,|ILVI|,1081,0,0,0,3,13,0,0,4,0,0,0,0,0
2730,|Tierra|,0,16267,2003-05-11T05:54:31Z,992,|Qubit|,1408,0,0,0,3,13,0,0,5,0,0,0,0,0
2730,|Tierra|,0,17329,2003-06-30T13:35:39Z,195.204.127.218,Anonymous,1421,0,0,0,3,14,0,0,5,0,0,0,0,0
2730,|Tierra|,0,17377,2003-07-09T15:55:09Z,1,|AstroNomo|,3389,0,0,0,3,15,0,0,6,0,0,0,0,0
2730,|Tierra|,0,17378,2003-07-09T18:19:07Z,1,|AstroNomo|,3364,0,0,0,3,16,0,0,6,0,0,0,0,0
2730,|Tierra|,0,25907,2003-07-09T18:21:12Z,1,|AstroNomo|,3312,0,0,0,3,17,0,0,6,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,18226,2003-07-15T18:14:42Z,1299,|Joseaperez|,439,0,0,0,3,17,0,0,7,0,0,0,0,0
10058,|Ácido desoxirribonucleico|,0,18227,2003-07-15T18:21:48Z,1299,|Joseaperez|,705,0,0,0,3,18,0,0,8,0,0,0,0,0
