page_id,page_title,page_ns,revision_id,timestamp,contributor_id,org:resource,bytes,intentionality
10058,|Ácido desoxirribonucleico|,0,84087,2004-01-14T20:38:00Z,4082,|ManuelGR|,6424,wikification
10058,|Ácido desoxirribonucleico|,0,84093,2004-01-14T20:51:36Z,4082,|ManuelGR|,6445,wikification
10058,|Ácido desoxirribonucleico|,0,86657,2004-01-20T21:39:17Z,4082,|ManuelGR|,6699,copy-editing
10058,|Ácido desoxirribonucleico|,0,90164,2004-01-30T20:24:17Z,4082,|ManuelGR|,7189,wikification
10058,|Ácido desoxirribonucleico|,0,92393,2004-01-30T21:11:45Z,4082,|ManuelGR|,7183,
10058,|Ácido desoxirribonucleico|,0,124636,2004-03-18T19:58:07Z,2906,|JorgeGG|,8309,elaboration
10058,|Ácido desoxirribonucleico|,0,209016,2004-06-30T13:50:56Z,2906,|JorgeGG|,8523,
10058,|Ácido desoxirribonucleico|,0,260378,2004-08-04T20:28:50Z,4082,|ManuelGR|,8518,wikification
10058,|Ácido desoxirribonucleico|,0,280645,2004-09-20T14:03:21Z,15544,|Opinador|,8538,wikification
10058,|Ácido desoxirribonucleico|,0,304600,2004-10-11T14:41:47Z,15544,|Opinador|,8557,wikification
10058,|Ácido desoxirribonucleico|,0,553169,2005-04-01T00:01:57Z,2906,|JorgeGG|,532,
10058,|Ácido desoxirribonucleico|,0,625048,2005-04-01T00:03:02Z,2906,|JorgeGG|,374,
10058,|Ácido desoxirribonucleico|,0,672157,2005-05-13T19:13:32Z,32751,|Rembiapo pohyiete (bot)|,8884,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,697787,2005-05-21T11:03:51Z,32751,|Rembiapo pohyiete (bot)|,9242,
10058,|Ácido desoxirribonucleico|,0,826401,2005-06-27T12:13:13Z,32751,|Rembiapo pohyiete (bot)|,9447,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,828787,2005-06-29T15:32:31Z,15544,|Opinador|,9470,wikification
10058,|Ácido desoxirribonucleico|,0,834254,2005-06-30T09:19:10Z,15544,|Opinador|,9468,copy-editing
10058,|Ácido desoxirribonucleico|,0,993527,2005-07-15T18:42:42Z,42374,|Yrbot|,9484,wikification
10058,|Ácido desoxirribonucleico|,0,1065368,2005-07-31T06:22:40Z,1279,|Pino|,500,
10058,|Ácido desoxirribonucleico|,0,1212574,2005-08-25T18:47:29Z,32751,|Rembiapo pohyiete (bot)|,9541,wikification
10058,|Ácido desoxirribonucleico|,0,1252097,2005-08-31T15:44:16Z,51912,|KnightRider|,9885,wikification
10058,|Ácido desoxirribonucleico|,0,1270075,2005-09-03T22:08:56Z,4082,|ManuelGR|,9885,counter-vandalism
10058,|Ácido desoxirribonucleico|,0,1318627,2005-09-13T07:11:27Z,32751,|Rembiapo pohyiete (bot)|,9896,wikification
10058,|Ácido desoxirribonucleico|,0,1342202,2005-09-18T10:59:52Z,51912,|KnightRider|,9944,wikification
10058,|Ácido desoxirribonucleico|,0,1405634,2005-09-30T12:53:20Z,42374,|Yrbot|,10004,wikification
10058,|Ácido desoxirribonucleico|,0,1436750,2005-10-05T22:22:53Z,42374,|Yrbot|,13054,
10058,|Ácido desoxirribonucleico|,0,1498162,2005-10-17T14:51:41Z,51912,|KnightRider|,13078,wikification
10058,|Ácido desoxirribonucleico|,0,1500119,2005-10-17T20:10:49Z,51912,|KnightRider|,13064,wikification
10058,|Ácido desoxirribonucleico|,0,1540403,2005-10-24T22:17:11Z,51912,|KnightRider|,13091,wikification
10058,|Ácido desoxirribonucleico|,0,1757906,2005-12-04T09:50:49Z,42374,|Yrbot|,14802,
10058,|Ácido desoxirribonucleico|,0,1787160,2005-12-08T19:19:04Z,31283,|Edub|,13743,copy-editing
10058,|Ácido desoxirribonucleico|,0,1925047,2005-12-28T03:28:13Z,16025,|Tano4595|,13807,wikification
10058,|Ácido desoxirribonucleico|,0,2003829,2006-01-08T13:32:04Z,51912,|KnightRider|,14119,"refactoring,wikification"
10058,|Ácido desoxirribonucleico|,0,2071955,2006-01-16T14:47:55Z,15544,|Opinador|,13980,
10058,|Ácido desoxirribonucleico|,0,2206924,2006-02-02T02:14:37Z,1279,|Pino|,1726,
10058,|Ácido desoxirribonucleico|,0,2234255,2006-02-04T23:06:48Z,1279,|Pino|,1726,
10058,|Ácido desoxirribonucleico|,0,2386079,2006-02-22T16:11:50Z,1279,|Pino|,1726,
10058,|Ácido desoxirribonucleico|,0,2505180,2006-03-07T15:07:09Z,70292,|Ciencia Al Poder|,14175,
10058,|Ácido desoxirribonucleico|,0,2505197,2006-03-07T15:09:16Z,70292,|Ciencia Al Poder|,14201,wikification
10058,|Ácido desoxirribonucleico|,0,2582707,2006-03-15T17:10:16Z,70292,|Ciencia Al Poder|,14417,wikification
10058,|Ácido desoxirribonucleico|,0,2583990,2006-03-15T20:09:03Z,70292,|Ciencia Al Poder|,14418,wikification
10058,|Ácido desoxirribonucleico|,0,2599979,2006-03-17T15:35:18Z,1279,|Pino|,1726,
10058,|Ácido desoxirribonucleico|,0,2609938,2006-03-18T17:38:10Z,68600,|Maldoror|,14418,wikification
10058,|Ácido desoxirribonucleico|,0,2628186,2006-03-20T15:12:44Z,68600,|Maldoror|,14418,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,2649166,2006-03-22T19:33:41Z,68600,|Maldoror|,14418,elaboration
10058,|Ácido desoxirribonucleico|,0,2686484,2006-03-26T06:57:39Z,42845,|BOT-Superzerocool|,14778,wikification
10058,|Ácido desoxirribonucleico|,0,2734450,2006-03-31T17:04:31Z,120687,|Nadia´|,14795,wikification
10058,|Ácido desoxirribonucleico|,0,2734464,2006-03-31T17:05:42Z,120687,|Nadia´|,14778,wikification
10058,|Ácido desoxirribonucleico|,0,2734531,2006-03-31T17:09:56Z,120687,|Nadia´|,14792,wikification
10058,|Ácido desoxirribonucleico|,0,2734547,2006-03-31T17:11:02Z,120687,|Nadia´|,14805,wikification
10058,|Ácido desoxirribonucleico|,0,2734609,2006-03-31T17:15:58Z,120687,|Nadia´|,14829,wikification
10058,|Ácido desoxirribonucleico|,0,2734647,2006-03-31T17:18:53Z,38328,|Platonides|,14836,"refactoring,wikification"
10058,|Ácido desoxirribonucleico|,0,2739215,2006-04-01T06:11:07Z,42845,|BOT-Superzerocool|,14848,wikification
10058,|Ácido desoxirribonucleico|,0,2978653,2006-04-25T07:08:26Z,70292,|Ciencia Al Poder|,15339,
10058,|Ácido desoxirribonucleico|,0,2985560,2006-04-25T22:35:53Z,131191,|Gonn|,15338,
10058,|Ácido desoxirribonucleico|,0,3028968,2006-04-30T10:30:39Z,70292,|Ciencia Al Poder|,15204,
10058,|Ácido desoxirribonucleico|,0,3053533,2006-05-02T13:19:18Z,70292,|Ciencia Al Poder|,15099,wikification
10058,|Ácido desoxirribonucleico|,0,3212314,2006-05-17T15:39:45Z,70292,|Ciencia Al Poder|,15114,wikification
10058,|Ácido desoxirribonucleico|,0,3273858,2006-05-22T19:33:28Z,1279,|Pino|,1726,vandalism
10058,|Ácido desoxirribonucleico|,0,3279960,2006-05-23T09:21:55Z,149002,|AngelHerraez|,15114,wikification
10058,|Ácido desoxirribonucleico|,0,3434920,2006-06-05T15:55:12Z,70292,|Ciencia Al Poder|,17384,wikification
10058,|Ácido desoxirribonucleico|,0,3549806,2006-06-14T17:38:03Z,68600,|Maldoror|,17540,
10058,|Ácido desoxirribonucleico|,0,3618172,2006-06-20T16:03:13Z,68600,|Maldoror|,17540,
10058,|Ácido desoxirribonucleico|,0,3624411,2006-06-21T01:58:33Z,93153,|CEM-bot|,17542,copy-editing
10058,|Ácido desoxirribonucleico|,0,3836393,2006-07-09T07:33:17Z,16025,|Tano4595|,17553,"copy-editing,wikification"
10058,|Ácido desoxirribonucleico|,0,4031412,2006-07-24T20:56:21Z,38328,|Platonides|,17554,
10058,|Ácido desoxirribonucleico|,0,4217420,2006-08-08T23:36:32Z,93153,|CEM-bot|,17556,copy-editing
10058,|Ácido desoxirribonucleico|,0,4566727,2006-09-03T20:12:07Z,42845,|BOT-Superzerocool|,15603,wikification
10058,|Ácido desoxirribonucleico|,0,4573274,2006-09-04T07:46:49Z,70292,|Ciencia Al Poder|,15552,wikification
10058,|Ácido desoxirribonucleico|,0,4650825,2006-09-09T22:27:15Z,32211,|Natrix|,5946,vandalism
10058,|Ácido desoxirribonucleico|,0,4757592,2006-09-18T01:50:02Z,32211,|Natrix|,5946,
10058,|Ácido desoxirribonucleico|,0,4757707,2006-09-18T02:06:53Z,32211,|Natrix|,15675,wikification
10058,|Ácido desoxirribonucleico|,0,4868049,2006-09-26T10:57:35Z,32211,|Natrix|,15675,elaboration
10058,|Ácido desoxirribonucleico|,0,4874019,2006-09-26T18:31:34Z,32211,|Natrix|,5946,
10058,|Ácido desoxirribonucleico|,0,4875534,2006-09-26T20:36:38Z,42374,|Yrbot|,15713,wikification
10058,|Ácido desoxirribonucleico|,0,4915650,2006-09-29T08:43:47Z,38328,|Platonides|,15713,wikification
10058,|Ácido desoxirribonucleico|,0,4923976,2006-09-29T22:00:22Z,32211,|Natrix|,15714,
10058,|Ácido desoxirribonucleico|,0,4924173,2006-09-29T22:15:39Z,32211,|Natrix|,15717,
10058,|Ácido desoxirribonucleico|,0,4924216,2006-09-29T22:19:07Z,32211,|Natrix|,15724,verifiability
10058,|Ácido desoxirribonucleico|,0,4976807,2006-10-03T21:35:57Z,220717,|Rjgalindo|,15808,wikification
10058,|Ácido desoxirribonucleico|,0,4976830,2006-10-03T21:37:37Z,220717,|Rjgalindo|,15825,
10058,|Ácido desoxirribonucleico|,0,4984381,2006-10-04T14:57:55Z,220717,|Rjgalindo|,15869,wikification
10058,|Ácido desoxirribonucleico|,0,4984423,2006-10-04T15:01:21Z,220717,|Rjgalindo|,15921,wikification
10058,|Ácido desoxirribonucleico|,0,4984545,2006-10-04T15:18:52Z,220717,|Rjgalindo|,15931,wikification
10058,|Ácido desoxirribonucleico|,0,4986158,2006-10-04T17:57:05Z,32211,|Natrix|,15915,
10058,|Ácido desoxirribonucleico|,0,4987423,2006-10-04T19:26:49Z,70292,|Ciencia Al Poder|,16037,"wikification,elaboration"
10058,|Ácido desoxirribonucleico|,0,4989666,2006-10-04T22:26:03Z,220717,|Rjgalindo|,16060,wikification
